%año         Mes      Dia      Hora     Cont    T1mx     T1mn  
 2011.00     3.00    19.00     7.00     0.00    30.09    21.22
 2011.00     3.00    20.00     7.00     1.00    27.95    21.15
 2011.00     3.00    21.00     7.00     2.00     9.35    19.79
 2011.00     3.00    22.00     7.00     3.00    28.67    20.98
 2011.00     3.00    23.00     7.00     4.00    28.94    21.63
 2011.00     3.00    24.00     7.00     5.00    29.29    21.60
 2011.00     3.00    25.00     7.00     6.00    29.01    21.50
 2011.00     3.00    26.00     7.00     7.00    29.39    21.67
 2011.00     3.00    27.00     7.00     8.00    30.07    22.38
 2011.00     3.00    28.00     7.00     9.00    30.24    22.56
 2011.00     3.00    29.00     7.00    10.00    30.52    22.93
 2011.00     3.00    30.00     7.00    11.00    29.70    22.52
 2011.00     3.00    31.00     7.00    12.00    29.94    22.80
 2011.00     4.00     1.00     7.00    13.00    29.66    21.74
 2011.00     4.00     2.00     7.00    14.00    29.83    20.34
 2011.00     4.00     3.00     7.00    15.00    29.80    21.09
 2011.00     4.00     4.00     7.00    16.00    29.94    21.47
 2011.00     4.00     5.00     7.00    17.00    29.70    22.63
 2011.00     4.00     6.00     7.00    18.00    28.09    22.39
 2011.00     4.00     7.00     7.00    19.00    29.56    21.98
 2011.00     4.00     8.00     7.00    20.00    25.60    21.67
 2011.00     4.00     9.00     7.00    21.00    30.55    22.43
 2011.00     4.00    10.00     7.00    22.00    27.99    22.63
 2011.00     4.00    11.00     7.00    23.00    28.94    21.84
 2011.00     4.00    12.00     7.00    24.00    29.35    22.08
 2011.00     4.00    13.00     7.00    25.00    29.83    20.34
 2011.00     4.00    14.00     7.00    26.00    29.15    19.52
 2011.00     4.00    15.00     7.00    27.00    29.35    20.68
 2011.00     4.00    16.00     7.00    28.00    29.32    22.25
 2011.00     4.00    17.00     7.00    29.00    29.63    22.46
 2011.00     4.00    18.00     7.00    30.00    26.45    20.95
 2011.00     4.00    19.00     7.00    31.00    29.25    21.43
 2011.00     4.00    20.00     7.00    32.00    29.29    20.51
 2011.00     4.00    21.00     7.00    33.00    29.18    21.91
 2011.00     4.00    22.00     7.00    34.00    29.49    22.52
 2011.00     4.00    23.00     7.00    35.00    30.04    22.08
 2011.00     4.00    24.00     7.00    36.00    29.46    22.76
 2011.00     4.00    25.00     7.00    37.00    29.73    21.78
 2011.00     4.00    26.00     7.00    38.00    29.94    21.44
 2011.00     4.00    27.00     7.00    39.00    30.59    23.86
 2011.00     4.00    28.00     7.00    40.00    29.53    23.07
 2011.00     4.00    29.00     7.00    41.00    29.63    22.60
 2011.00     4.00    30.00     7.00    42.00    30.42    22.05
 2011.00     5.00     1.00     7.00    43.00    30.28    20.55
 2011.00     5.00     2.00     7.00    44.00    29.05    22.29
 2011.00     5.00     3.00     7.00    45.00    30.42    21.34
 2011.00     5.00     4.00     7.00    46.00    30.11    23.42
 2011.00     5.00     5.00     7.00    47.00    30.04    23.04
 2011.00     5.00     6.00     7.00    48.00    27.38    23.25
 2011.00     5.00     7.00     7.00    49.00    29.70    22.36
 2011.00     5.00     8.00     7.00    50.00    30.00    23.52
 2011.00     5.00     9.00     7.00    51.00    28.88    23.55
 2011.00     5.00    10.00     7.00    52.00    28.74    23.35
 2011.00     5.00    11.00     7.00    53.00    29.70    22.84
 2011.00     5.00    12.00     7.00    54.00    28.84    22.87
 2011.00     5.00    13.00     7.00    55.00    30.41    22.84
 2011.00     5.00    14.00     7.00    56.00    30.82    22.70
 2011.00     5.00    15.00     7.00    57.00    30.15    22.53
 2011.00     5.00    16.00     7.00    58.00    30.38    23.42
 2011.00     5.00    17.00     7.00    59.00    30.46    20.28
 2011.00     5.00    18.00     7.00    60.00    29.94    21.23
 2011.00     5.00    19.00     7.00    61.00    30.39    21.17
 2011.00     5.00    20.00     7.00    62.00    30.29    22.16
 2011.00     5.00    21.00     7.00    63.00    30.53    23.08
 2011.00     5.00    22.00     7.00    64.00    30.43    23.42
 2011.00     5.00    23.00     7.00    65.00    30.16    22.02
 2011.00     5.00    24.00     7.00    66.00    30.16    23.49
 2011.00     5.00    25.00     7.00    67.00    30.81    22.16
 2011.00     5.00    26.00     7.00    68.00    30.67    22.33
 2011.00     5.00    27.00     7.00    69.00    30.64    22.85
 2011.00     5.00    28.00     7.00    70.00    31.05    23.91
 2011.00     5.00    29.00     7.00    71.00    31.97    22.85
 2011.00     5.00    30.00     7.00    72.00    31.39    23.26
 2011.00     5.00    31.00     7.00    73.00    30.95    23.60
 2011.00     6.00     1.00     7.00    74.00    30.57    24.11
 2011.00     6.00     2.00     7.00    75.00    30.47    23.80
 2011.00     6.00     3.00     7.00    76.00    31.46    22.37
 2011.00     6.00     4.00     7.00    77.00    31.60    23.43
 2011.00     6.00     5.00     7.00    78.00    31.43    23.05
 2011.00     6.00     6.00     7.00    79.00    32.11    22.51
 2011.00     6.00     7.00     7.00    80.00    30.95    22.27
 2011.00     6.00     8.00     7.00    81.00    31.50    24.05
 2011.00     6.00     9.00     7.00    82.00    31.43    24.46
 2011.00     6.00    10.00     7.00    83.00    31.80    23.84
 2011.00     6.00    11.00     7.00    84.00    31.36    23.26
 2011.00     6.00    12.00     7.00    85.00    31.46    23.70
 2011.00     6.00    13.00     7.00    86.00    29.89    23.88
 2011.00     6.00    14.00     7.00    87.00    28.11    22.99
 2011.00     6.00    15.00     7.00    88.00    31.74    24.05
 2011.00     6.00    16.00     7.00    89.00    28.90    22.92
 2011.00     6.00    17.00     7.00    90.00    30.98    22.51
 2011.00     6.00    18.00     7.00    91.00    30.71    22.65
 2011.00     6.00    19.00     7.00    92.00    30.44    22.75
 2011.00     6.00    20.00     7.00    93.00    30.06    23.57
 2011.00     6.00    21.00     7.00    94.00    31.16    23.43
 2011.00     6.00    22.00     7.00    95.00    30.75    23.47
 2011.00     6.00    23.00     7.00    96.00    31.33    23.12
 2011.00     6.00    24.00     7.00    97.00    30.16    22.85
 2011.00     6.00    25.00     7.00    98.00    31.26    22.58
 2011.00     6.00    26.00     7.00    99.00    29.86    23.06
 2011.00     6.00    27.00     7.00   100.00    30.47    22.68
 2011.00     6.00    28.00     7.00   101.00    29.99    23.64
 2011.00     6.00    29.00     7.00   102.00    30.13    23.74
 2011.00     6.00    30.00     7.00   103.00    31.26    23.29
 2011.00     7.00     1.00     7.00   104.00    30.47    22.75
 2011.00     7.00     2.00     7.00   105.00    29.34    21.89
 2011.00     7.00     3.00     7.00   106.00    29.69    21.48
 2011.00     7.00     4.00     7.00   107.00    29.62    22.58
 2011.00     7.00     5.00     7.00   108.00    30.37    23.09
 2011.00     7.00     6.00     7.00   109.00    30.98    22.68
 2011.00     7.00     7.00     7.00   110.00    31.12    23.09
 2011.00     7.00     8.00     7.00   111.00    30.75    22.88
 2011.00     7.00     9.00     7.00   112.00    30.68    23.23
 2011.00     7.00    10.00     7.00   113.00    30.88    23.26
 2011.00     7.00    11.00     7.00   114.00    28.73    23.67
 2011.00     7.00    12.00     7.00   115.00    29.79    22.06
 2011.00     7.00    13.00     7.00   116.00    30.64    22.65
 2011.00     7.00    14.00     7.00   117.00    28.25    22.34
 2011.00     7.00    15.00     7.00   118.00    28.22    22.54
 2011.00     7.00    16.00     7.00   119.00    28.42    22.51
 2011.00     7.00    17.00     7.00   120.00    28.87    23.57
 2011.00     7.00    18.00     7.00   121.00    30.37    23.12
 2011.00     7.00    19.00     7.00   122.00    30.75    21.52
 2011.00     7.00    20.00     7.00   123.00    29.99    22.41
 2011.00     7.00    21.00     7.00   124.00    30.13    23.70
 2011.00     7.00    22.00     7.00   125.00    29.75    23.57
