%% año      Mes      Dia      Hora     Cont      T1     tlog     volbt mx   volt_min 
 2011.00     3.00    18.00    14.00     0.00    29.12    33.52    12.95    12.88
 2011.00     3.00    18.00    15.00     1.00    28.88    34.31    12.95    12.91
 2011.00     3.00    18.00    16.00     2.00    27.95    32.28    13.01    12.92
 2011.00     3.00    18.00    17.00     3.00    27.68    30.21    13.02    12.79
 2011.00     3.00    18.00    18.00     4.00    25.68    28.13    12.83    12.64
 2011.00     3.00    18.00    19.00     5.00    25.80    26.03    12.67    12.61
 2011.00     3.00    18.00    20.00     6.00    24.08    25.21    12.64    12.58
 2011.00     3.00    18.00    21.00     7.00    23.69    24.15    12.61    12.56
 2011.00     3.00    18.00    22.00     8.00    23.29    23.71    12.59    12.54
 2011.00     3.00    18.00    23.00     9.00    22.74    22.98    12.57    12.52
 2011.00     3.00    19.00     0.00    10.00    23.21    22.81    12.55    12.50
 2011.00     3.00    19.00     1.00    11.00    21.94    22.35    12.53    12.47
 2011.00     3.00    19.00     2.00    12.00    21.74    21.75    12.51    12.46
 2011.00     3.00    19.00     3.00    13.00    21.67    21.63    12.50    12.45
 2011.00     3.00    19.00     4.00    14.00    21.67    21.49    12.49    12.44
 2011.00     3.00    19.00     5.00    15.00    21.43    21.45    12.48    12.43
 2011.00     3.00    19.00     6.00    16.00    21.63    21.42    12.47    12.43
 2011.00     3.00    19.00     7.00    17.00    21.96    21.83    12.50    12.43
 2011.00     3.00    19.00     8.00    18.00    22.46    22.43    12.66    12.45
 2011.00     3.00    19.00     9.00    19.00    23.30    23.49    13.02    12.65
 2011.00     3.00    19.00    10.00    20.00    23.88    24.08    13.10    12.80
 2011.00     3.00    19.00    11.00    21.00    25.52    26.09    13.07    12.97
 2011.00     3.00    19.00    12.00    22.00    26.37    28.85    13.01    12.96
 2011.00     3.00    19.00    13.00    23.00    27.23    29.91    13.00    12.95
 2011.00     3.00    19.00    14.00    24.00    24.14    27.64    13.06    12.75
 2011.00     3.00    19.00    15.00    25.00    23.57    24.73    13.11    13.02
 2011.00     3.00    19.00    16.00    26.00    24.14    25.47    13.08    12.87
 2011.00     3.00    19.00    17.00    27.00    23.67    24.95    13.10    12.69
 2011.00     3.00    19.00    18.00    28.00    22.99    23.93    12.72    12.61
 2011.00     3.00    19.00    19.00    29.00    22.91    23.21    12.65    12.58
 2011.00     3.00    19.00    20.00    30.00    22.82    22.97    12.62    12.56
 2011.00     3.00    19.00    21.00    31.00    22.31    22.56    12.60    12.55
 2011.00     3.00    19.00    22.00    32.00    22.32    22.40    12.59    12.53
 2011.00     3.00    19.00    23.00    33.00    22.24    22.20    12.56    12.50
 2011.00     3.00    20.00     0.00    34.00    22.09    22.19    12.54    12.48
 2011.00     3.00    20.00     1.00    35.00    21.91    22.02    12.52    12.46
 2011.00     3.00    20.00     2.00    36.00    22.01    22.01    12.50    12.45
 2011.00     3.00    20.00     3.00    37.00    22.03    22.04    12.49    12.44
 2011.00     3.00    20.00     4.00    38.00    21.84    21.94    12.48    12.43
 2011.00     3.00    20.00     5.00    39.00    21.88    21.79    12.47    12.43
 2011.00     3.00    20.00     6.00    40.00    22.89    22.11    12.47    12.42
 2011.00     3.00    20.00     7.00    41.00    21.76    21.88    12.56    12.42
 2011.00     3.00    20.00     8.00    42.00    22.16    21.87    12.98    12.53
 2011.00     3.00    20.00     9.00    43.00    23.88    23.88    13.10    12.95
 2011.00     3.00    20.00    10.00    44.00    25.53    26.64    13.05    12.95
 2011.00     3.00    20.00    11.00    45.00    25.45    27.22    13.04    12.97
 2011.00     3.00    20.00    12.00    46.00    26.52    28.09    13.03    12.96
 2011.00     3.00    20.00    13.00    47.00    28.11    30.48    13.00    12.93
 2011.00     3.00    20.00    14.00    48.00    28.97    32.43    12.96    12.92
 2011.00     3.00    20.00    15.00    49.00    27.69    31.27    13.03    12.75
 2011.00     3.00    20.00    16.00    50.00    25.58    27.96    13.05    12.82
 2011.00     3.00    20.00    17.00    51.00    24.94    26.07    12.87    12.64
 2011.00     3.00    20.00    18.00    52.00    24.52    25.24    12.67    12.60
 2011.00     3.00    20.00    19.00    53.00    23.82    24.41    12.64    12.58
 2011.00     3.00    20.00    20.00    54.00    23.09    23.46    12.62    12.56
 2011.00     3.00    20.00    21.00    55.00    21.70    21.92    12.60    12.54
 2011.00     3.00    20.00    22.00    56.00    21.46    21.25    12.58    12.52
 2011.00     3.00    20.00    23.00    57.00    21.06    20.88    12.56    12.50
 2011.00     3.00    21.00     0.00    58.00    20.35    20.18    12.54    12.47
 2011.00     3.00    21.00     1.00    59.00    20.08    19.63    12.51    12.45
 2011.00     3.00    21.00     2.00    60.00    20.47    19.93    12.49    12.44
 2011.00     3.00    21.00     3.00    61.00    20.44    20.31    12.47    12.42
 2011.00     3.00    21.00     4.00    62.00    22.24    21.12    12.46    12.42
 2011.00     3.00    21.00     5.00    63.00    21.13    21.50    12.46    12.42
 2011.00     3.00    21.00     6.00    64.00    21.31    21.22    12.46    12.42
 2011.00     3.00    21.00     7.00    65.00    21.94    21.54    12.57    12.42
 2011.00     3.00    21.00     8.00    66.00    22.46    22.30    12.75    12.54
 2011.00     3.00    21.00     9.00    67.00    23.26    23.36    13.10    12.63
 2011.00     3.00    21.00    10.00    68.00    24.82    26.15    13.05    12.98
 2011.00     3.00    21.00    11.00    69.00    25.96    28.08    13.02    12.97
 2011.00     3.00    21.00    12.00    70.00    27.22    29.46    13.00    12.95
 2011.00     3.00    21.00    13.00    71.00    27.77    29.75    13.00    12.95
 2011.00     3.00    21.00    14.00    72.00    27.35    30.26    13.00    12.95
 2011.00     3.00    21.00    15.00    73.00    27.34    29.70    13.01    12.96
 2011.00     3.00    21.00    16.00    74.00    26.62    28.72    13.05    12.88
 2011.00     3.00    21.00    17.00    75.00    25.52    27.16    13.05    12.74
 2011.00     3.00    21.00    18.00    76.00    25.00    25.93    12.79    12.62
 2011.00     3.00    21.00    19.00    77.00    23.54    24.38    12.66    12.59
 2011.00     3.00    21.00    20.00    78.00    22.78    23.00    12.62    12.57
 2011.00     3.00    21.00    21.00    79.00    22.88    22.79    12.61    12.55
 2011.00     3.00    21.00    22.00    80.00    23.24    22.97    12.59    12.54
 2011.00     3.00    21.00    23.00    81.00    22.70    22.84    12.58    12.52
 2011.00     3.00    22.00     0.00    82.00    22.06    22.14    12.56    12.51
 2011.00     3.00    22.00     1.00    83.00    21.90    21.93    12.55    12.49
 2011.00     3.00    22.00     2.00    84.00    21.87    21.93    12.52    12.46
 2011.00     3.00    22.00     3.00    85.00    21.50    21.69    12.50    12.45
 2011.00     3.00    22.00     4.00    86.00    21.63    21.54    12.49    12.44
 2011.00     3.00    22.00     5.00    87.00    21.55    21.47    12.47    12.43
 2011.00     3.00    22.00     6.00    88.00    21.16    21.20    12.47    12.42
 2011.00     3.00    22.00     7.00    89.00    21.36    21.09    12.69    12.42
 2011.00     3.00    22.00     8.00    90.00    22.63    22.35    13.10    12.65
 2011.00     3.00    22.00     9.00    91.00    25.35    25.92    13.06    12.96
 2011.00     3.00    22.00    10.00    92.00    27.75    30.07    12.99    12.93
